2012-07-23 11:28:42,426 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@oWt@000PRhUPOlq15Aa?D08Ha,0*01 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,450 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,138dnD00200MViFOdBBi5@uB00R@,0*5C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,450 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33AUI2500NPIKPdP<=b<09wD28HA,0*78 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,451 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13AUI2500NPIKPdP<=b<09wD2Kvj,0*1F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,452 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13nKrF0P100RcSbP2irWLn=<0<08,0*74 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,467 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,A,13aT?P01k<Q<=>0P2g32FQoF08Hv,0*7A tag: GatehouseSourceTag [baseMmsi=null, country=IS, region=3, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,473 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,A,13@o:I@0000eU?jPu9Nqf75F0L13,0*22 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=5, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,481 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,19NWt<@2Bd0PEv8OruW0fha>00Rw,0*02 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,482 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,33@ng6p00C0V`NvOg1titWMF0000,0*7B tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,482 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@ng7?01F0VPMDOfgC`IVmF00sQ,0*7D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,509 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13LVah30000VPp<OgVhK<DBh2D0n,0*73 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,510 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@oU90P@b0Ri`rOm9BBqAIH00r0,0*4F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,510 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@oAM@0060SrU`OgpS8:FOH25BL,0*0E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,511 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33AUI2500NPIKPHP<=ctqawF2001,0*05 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,531 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,A,13@no`P0000U=PnP2k<kKaQH08Ie,0*4A tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=54, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,534 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@oSO003J0Rd@nOlhdGGmsH0<0A,0*5B tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,534 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13Pchd002DPOm70P3Kk>2K=@0pIQ,0*23 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,535 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33AUI2500PPIKP<P<=euDawF2001,0*5E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,536 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@sQF00000VbAFOg1Mtgk5H0<0m,0*19 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,537 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@npdS0010Vjo8OfaE721gp0UBP,0*67 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:43 CEST 2012]
2012-07-23 11:28:42,570 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13A2;80P1I0Ri7nP5p>c5gv425BP,0*4A tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,571 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@o@C@P@<0Vjl0Of`N2=aIH0000,0*47 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,571 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33B2PD700RPUuGnOdCfnBU;H210P,0*00 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,572 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13A0In0000PVQTpOgWm57:CH05BL,0*31 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,594 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oGaPOh?0T2VvOh?1@Pi5J0000,0*24 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,595 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13AP5<3P00PVPrLOga?@jwwJ0<0d,0*60 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:44 CEST 2012]
2012-07-23 11:28:42,618 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@oJf80010Rj@NOjaAu85kH05BL,0*67 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,619 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13lW=V002?PO61bP7UMpFncF0D0:,0*66 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,620 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,139L7t0000PViu0OfVL009;H08JJ,0*50 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,661 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@ng7O01K0VNb>Og`:U54AJ00qA,0*2D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,662 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13bvpB00280MNFNOjTgQA19@05BL,0*6F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,662 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13A:f0?P000VRr:Oge9ujgwJ08Jk,0*1B tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:46 CEST 2012]
2012-07-23 11:28:42,666 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,A,13@ngAh0010VT3HOgKosIEUL00SH,0*4D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=4, timestamp=Mon Jul 02 12:39:45 CEST 2012]
2012-07-23 11:28:42,691 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oU90P@e0RibPOm9JR?@sL00u1,0*04 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:46 CEST 2012]
2012-07-23 11:28:42,718 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@ngAh0010VT3HOgKosIEUL00SH,0*54 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:46 CEST 2012]
